trial_id,condition,T_trial_s,CE_velocity,n_gripper_press,gripper_rate_hz,n_mode_switch,raw_csv
1,B2,48.892475,,,,,
2,B2,81.503066,,,,,
3,B2,195.953668,,,,,
4,B2,56.301622,,,,,
5,B2,60.098426,,,,,
6,B2,72.579916,,,,,
7,B2,91.729262,,,,,
8,B2,43.599157,,,,,
9,B2,63.920355,,,,,
10,B2,68.851397,,,,,
11,B2,63.899703,,,,,
12,B2,168.307893,,,,,
13,B2,60.946323,,,,,
14,B2,109.483349,,,,,
15,B2,45.010206,,,,,
16,B2,87.097579,,,,,
17,B2,45.091038,,,,,
18,B2,49.558865,,,,,
19,B2,80.061713,,,,,
20,B2,131.163810,,,,,
21,B2,77.318539,,,,,
22,B2,121.340266,,,,,
23,B2,44.860611,,,,,
